S1,S2,S3,S4,T1,T2,T3,T4
3413,1728,1321,2882,3049,1809,1497,2869
3666,1801,1516,3121,3057,1806,1715,3025
3748,2238,2093,3471,3329,2605,2808,3472
3293,2201,1903,2996,2834,1928,1779,2876
3541,1756,1539,3150,2957,1448,1364,3038
3229,1196,1046,2871,2362,1231,1194,2366
2469,1192,1167,2309,1700,1290,1332,1798
3694,1750,1539,3387,3165,1657,1469,3253
3772,1760,1401,3396,3191,1816,1504,3270
3840,1646,1343,3443,3047,1651,1452,3151
2988,1464,1333,2702,2869,1719,1454,2647
3511,1710,1517,3176,3055,1774,1562,2975
3757,1870,1763,3433,3124,1990,2009,3250
3306,1900,1525,2846,2935,1496,1293,2925
3158,1265,1110,3011,2887,1219,1120,2892
3242,1124,1041,2912,2548,1193,1109,2496
3777,1707,1392,3343,3193,1792,1516,3375
3889,1658,1342,3456,3218,1702,1446,3236
3848,1685,1367,3328,3103,1643,1413,3094
3676,1616,1323,3350,2496,1455,1277,2697
3804,1961,1713,3557,3113,1920,1761,3303
3159,2133,1870,2665,2807,1910,1721,2743
2697,1720,1656,2738,2696,1437,1342,2756
3207,1433,1255,2959,2887,1257,1071,2805
3186,1137,1000,2930,2581,1232,1119,2549
2700,1245,1143,2523,1871,1272,1240,1920
3622,1778,1495,3216,3128,1670,1432,3268
3925,1709,1404,3551,3239,1592,1403,3240
3943,1712,1325,3457,3161,1649,1375,3184
3874,1726,1415,3445,3196,1612,1394,3174
3784,1705,1434,3278,2909,1525,1382,2867
3791,1865,1782,3631,2989,1689,1607,3208
3609,1729,1469,3548,3015,1776,1601,3316
3570,1861,1680,3458,2990,1726,1582,3221
3291,1493,1287,2949,2843,1231,1121,2803
3268,1269,1071,2987,2533,1244,1099,2557
3918,1731,1354,3444,3102,1628,1367,3247
3915,1772,1401,3550,3230,1654,1417,3282
3726,1743,1445,3399,3199,1709,1408,3232
3852,1821,1558,3454,3113,1732,1438,3217
3494,1715,1540,3457,2955,1659,1562,3391
3713,1776,1514,3659,2906,1537,1409,3208
3864,2135,2042,3876,2886,1725,1559,3177
3618,2319,1938,3162,2779,1561,1441,2838
3448,1653,1414,3061,2848,1217,1184,2893
3366,1206,1107,2960,2649,1241,1221,2684
2939,1314,1206,2743,2708,1965,1931,2656
3569,1936,1687,3300,3224,1734,1455,3289
3821,1724,1404,3404,3190,1678,1424,3251
3879,1822,1485,3416,3086,1681,1437,3214
3875,1907,1593,3484,3178,1770,1565,3310
3725,1868,1582,3406,3102,1785,1584,3242
3324,1681,1422,3066,2791,1332,1196,2899
3264,1204,1077,2956,2889,1479,1429,2782
3718,1863,1531,3346,3152,1785,1594,3281
3712,1816,1522,3360,2972,1753,1534,3188
3690,1822,1742,3065,2075,1428,1399,2384
3463,2132,2066,3054,2320,1544,2141,2556
4257,2157,1719,3427,3074,1803,1521,3113
4033,2104,1788,3274,3003,1848,1972,2989
4147,2127,1782,3481,3219,1804,1573,3253
3985,1907,1438,3207,3251,1654,1468,3131
3817,1840,1427,3270,3212,1719,1567,3131
3287,1574,1237,3411,2953,1981,1874,3142
3975,1895,1523,3252,3189,1749,1458,3153
3881,1867,1430,3274,3162,1643,1411,3105
3505,1623,1212,3469,3038,1607,1375,3185
3433,1511,1317,3777,2772,1382,1344,3203
3631,1767,1402,3056,3199,1644,1384,3081
3512,1592,1205,3343,3066,1580,1371,3146
3379,1532,1173,3671,2826,1540,1270,3274
2932,1018,992,3141,2179,1237,1260,2536
3227,1318,1229,3507,2507,1464,1413,2891
2867,979,931,2864,2020,1117,1237,2489
3176,1020,918,3337,2790,1219,1092,3161
3238,1061,962,3380,2810,1213,1114,3192
2706,974,943,2560,1908,1108,1230,2287
3135,1015,890,2967,2705,1181,1093,2968
3153,1054,888,3216,2815,1197,1064,3279
3208,1045,859,3424,2877,1211,1051,3339
3275,1034,907,3438,2801,1213,1115,3205
3261,1123,1140,3352,2655,1461,1403,3044
3131,1025,867,2876,2580,1164,1090,2730
3088,1001,854,2915,2749,1170,1019,2908
3152,1044,878,3030,2812,1184,1060,3116
3173,1049,875,3207,2913,1212,1073,3297
3242,1113,954,3458,2875,1226,1068,3358
3170,1025,861,3502,2906,1284,1111,3328
3157,1063,866,3221,2557,1181,1099,2867
3184,1005,864,3097,2662,1159,1016,2770
3168,1040,885,2918,2691,1160,1020,2781
3127,1072,839,2951,2824,1185,1028,2955
3162,1052,883,3008,2853,1182,1059,3113
3219,1024,918,3234,2843,1188,1077,3323
2384,1054,1093,2479,1615,998,1263,2094
3106,1065,893,3196,2623,1201,1120,2904
3267,1033,890,3445,2782,1180,1033,3045
3169,1043,862,3145,2734,1163,1006,2864
3168,1017,881,2934,2722,1183,1035,2873
3191,1069,905,2945,2773,1173,1066,2926
2996,1134,1070,2936,2875,1220,1099,3081
3286,1379,1190,2885,2521,1279,1285,2672
3230,1190,1011,3028,2842,1175,1065,3120
3207,1073,903,3368,2971,1189,1034,3399
3244,1032,855,3420,2954,1197,1039,3390
3289,1013,897,3349,2799,1194,1046,3101
3196,1058,890,3164,2691,1190,1031,2864
2965,1110,1036,2963,2772,1159,1067,2868
3359,1703,1317,3076,2900,1579,1347,2827
3377,1453,1191,2961,2841,1331,1166,2934
3253,1161,984,3037,2885,1200,1047,3212
3148,1071,908,3187,2859,1203,1042,3261
3205,1062,872,3382,2880,1240,1065,3297
3511,1994,1591,2984,2778,1785,1534,2937
3353,1932,1453,3241,2884,1723,1459,2989
3506,1753,1341,3191,2921,1553,1331,2887
3386,1513,1200,2999,2858,1362,1149,2915
3191,1217,1010,3045,2810,1251,1071,2985
3190,1142,1010,3291,2813,1206,1048,3219
3790,2063,1737,3086,2968,1900,1659,2829
3653,2061,1601,3288,2914,1845,1509,3020
3485,2029,1415,3527,2942,1795,1435,3159
3528,1843,1357,3368,2925,1580,1357,2886
3895,2127,1829,3200,3084,2027,1740,2952
3893,2117,1746,3272,3018,1943,1626,3107
3644,2150,1589,3563,2966,1937,1503,3405
3554,2109,1541,3628,2920,1814,1471,3204
3948,2174,1863,3356,3162,2003,1805,2971
3993,2138,1829,3297,3103,1970,1778,2996
3847,2175,1794,3342,3058,1983,1659,3270
3258,2195,2052,3361,2876,1919,1557,3315
4254,2421,2118,3715,3155,2012,1866,3104
3985,2170,1865,3420,3081,1940,1767,2875
3399,2128,1987,3130,3005,1967,1785,2970
2683,2448,2628,2973,2501,1987,1910,2862
3663,2403,1958,2843,2960,2264,2008,2752
3753,2514,2023,2920,3008,2440,2244,2996
2996,1266,1165,2979,2082,1685,1533,2717
3311,1603,1379,3137,2441,1701,1654,2526
3387,2018,1618,2894,2774,2122,1867,2666
3570,2330,1862,2757,3109,2414,2142,2949
3719,2490,1993,2857,3098,2360,2135,2968
3718,2536,2004,2936,3058,2425,2137,3018
3701,2495,2147,3012,2906,2522,2449,3253
2909,1203,1110,2957,2148,1448,1371,2511
3466,1385,1207,3331,2619,1402,1285,3023
3463,1458,1237,3440,2856,1629,1431,3067
3451,1629,1381,3268,2932,1948,1737,2925
3472,2183,1832,2983,3050,2338,2036,2968
3682,2443,1929,2853,3135,2467,2148,2974
3714,2437,2006,2891,3137,2443,2217,3028
3743,2426,1965,2881,3031,2350,2149,2926
2921,1378,1282,3091,2694,1464,1307,2985
3435,1341,1099,3407,2799,1486,1321,3170
3398,1372,1181,3435,2900,1481,1344,3218
3436,1526,1377,3476,2888,1661,1475,3166
3606,2379,1898,2823,3128,2464,2161,3001
3515,2375,1953,2797,3033,2334,2072,2923
2980,1465,1305,3067,2858,1531,1344,3109
3366,1409,1315,3386,2829,1486,1347,3255
3274,2272,1878,2638,2208,1863,1834,2300
3557,2305,1901,2774,2699,2190,1994,2776
3718,2432,1943,2993,2757,2224,2039,2878
3695,2569,2120,3050,2783,2271,2141,2998
3645,2462,1996,2914,2715,2167,2015,2725
3737,2480,1971,2952,2809,2274,1994,2902
3741,2580,2144,3063,2865,2307,2132,2984
3409,2353,1954,2783,2691,2269,2187,3003
3704,2435,2019,2933,2755,2236,2090,2869
3735,2614,2109,3050,2862,2336,2148,2991
4649,4804,5027,5105,4027,4281,4655,4822
3964,4296,4366,4417,3345,3775,3887,4496
4330,4461,4948,4995,4064,4308,4546,4890
3779,3937,3916,4395,3632,3901,4123,4850
2862,3028,3192,3763,3708,3895,3911,4687
